query,answer,gt_sources,gt_entities,start_candidates,type
"Does Nigeria's level of community connection correspond with its level of acceptance toward diverse social groups, as indicated by support for same-sex marriage rights?","No, Nigeria demonstrates high community connection with 91% of residents feeling close to people in their local communities, but extremely low acceptance of diverse social groups with only 2% supporting same-sex marriage rights.","[""chart_00228_01"", ""paragraph_00094_02""]","[""Nigeria"", ""People in their local community"", ""LGBT rights""]","[""Nigeria""]",easy
"France has a high rate of internet connectivity across its population. This connectivity exists across a country that spans numerous time zones due to its overseas territories. The internet usage rate in France is similar to several other European nations. Within this group of European countries with comparable internet access, French adults have expressed specific views about international leadership. This perspective is part of a broader pattern of European views on U.S. leadership. What is the percentage of French adults who do not have confidence in the U.S. president to do the right thing regarding international relations?",56% of French adults do not have confidence in the U.S. president to do the right thing regarding international relations.,"[""chart_00187_01"", ""chart_00068_02"", ""paragraph_00078_06"", ""paragraph_00120_03""]","[""France"", ""U.S. president""]","[""France""]",long
"When comparing the partisan differences in perceptions of the Supreme Court's power and its justices' ability to remain politically neutral, which issue demonstrates a larger disparity between Democrats and Republicans?",The disparity is larger regarding justices' ability to keep politics out of decision-making.,"[""chart_00153_04"", ""chart_00153_08""]","[""Survey Date"", ""August 2022""]","[""Don't know/refused and other volunteered responses""]",easy
"Among Protestant subgroups in the United States, does a higher perception of immigration as a national crisis correspond to greater likelihood of considering immigration a key factor in voting decisions for the 2024 presidential election?","Yes, White evangelical Protestants who perceive immigration as a crisis (70%) are more likely to consider it a key voting issue (79%) compared to Black Protestants (32% crisis perception, 45% voting importance), indicating a positive correlation between crisis perception and voting importance across these Protestant subgroups.","[""chart_00253_04"", ""chart_00184_01""]","[""Protestant"", ""White evangelical Protestants"", ""Black Protestants""]","[""Protestant""]",analysis
"Among White Evangelical Protestants in the United States, does their strong concern about domestic border issues and relatively low support for U.S. diplomatic involvement in international conflicts correspond to their underrepresentation among Democratic voters?","Yes, with 70% of White Evangelical Protestants viewing border issues as a crisis and only 19% supporting a major U.S. role in resolving the Israel-Hamas war, their policy preferences correspond to their underrepresentation among Democratic voters (5% among Democrats vs 17% among all voters).","[""chart_00184_01"", ""chart_00247_02"", ""chart_00159_04""]","[""White Evangelical Protestant"", ""border issues"", ""diplomatic involvement"", ""Democratic voters""]","[""American Trends Panel""]",analysis
"Among White voters, does the subgroup identifying as Catholic and perceiving the migrant influx at the U.S.-Mexico border as a crisis also demonstrate a tendency to oppose legal immigrants filling jobs that American citizens would like?","Yes, White Catholic voters who view the migrant influx as a crisis are part of the White voter population where 61% oppose legal immigrants filling jobs that American citizens would like.","[""chart_00184_01"", ""chart_00237_02""]","[""White Catholic"", ""White Voters""]","[""White Catholic""]",analysis
"White Evangelical Protestants, a religious group surveyed in the American Trends Panel, reported a certain percentage viewing the U.S.-Mexico border migrant influx as a crisis. This percentage exceeds their support for U.S. diplomatic involvement in the Israel-Hamas conflict during February 2024. The group's representation among all voters is also higher than among Democratic-leaning voters. What is the sum of the two percentage-point differences between these paired comparisons?",63,"[""chart_00184_01"", ""chart_00247_02"", ""chart_00159_04""]","[""White Evangelical Protestants"", ""U.S.-Mexico border migrant influx"", ""U.S. diplomatic involvement in Israel-Hamas conflict"", ""all voters"", ""Democratic-leaning voters""]","[""American Trends Panel""]",long
"Among registered voters in the United States, does the high level of concern about border security among White Catholics suggest a stronger alignment with views prioritizing border issues compared to their representation in the overall voting population, when considering religious identification patterns?","Yes, White Catholics demonstrate a stronger alignment with border security concerns compared to their representation in the voting population, with 64% viewing border issues as a crisis while constituting only 14% of all voters.","[""chart_00184_01"", ""chart_00159_04""]","[""White Catholic""]","[""White Catholic""]",analysis
"In Nigeria, how does the percentage of adults who hold favorable views of China and unfavorable views of Taiwan compare to the percentage who feel very or somewhat close to people in their local community?",The percentage of Nigerian adults who hold favorable views of China and unfavorable views of Taiwan (22%) is lower than the percentage who feel very or somewhat close to people in their local community (91%).,"[""paragraph_00006_02"", ""chart_00228_01""]","[""People in their local community"", ""Taiwan""]","[""Nigeria""]",easy
What is the percentage-point difference between the proportion of White Evangelicals who consider immigration a key factor in their voting decision and the proportion of White voters who oppose having undocumented immigrants fill jobs that American citizens would like to have?,White voters' opposition to undocumented immigrants filling jobs is 8 percentage points higher than White Evangelicals' prioritization of immigration policy.,"[""chart_00253_04"", ""chart_00237_02""]","[""White Evangelical"", ""White Voters""]","[""White Evangelical""]",easy
