query,answer,gt_sources,start_candidates
"Among the demographic segment spanning the fourth decade of life, during the year defined by a younger demographic unemployment rate of a proportion slightly below one-fifth, did preference for a confectionery item known for its two-finger structure rank lower than the fourth position?",Yes,"[""test_000820"", ""test_001188""]",Age Group 35-44
"In the year that a platform for ephemeral content sharing first surpassed a preference level exceeding one tenth among a younger demographic in a large North American country, what was the dominant land use classification for fire alerts in the maritime nation bordering the body of water west of Asia?",outside concessions,"[""test_001206"", ""test_001357""]",Snapchat
"Among the demographic cohort representing approximately one-fifth of the total populace and demonstrating interactive digital entertainment engagement exceeding eight out of ten, is the growth trajectory for essential health resource allocation greater than that for staple food acquisition?","Yes, the medical spending increase (47%) exceeds the grocery spending increase (20%) for this demographic group.","[""test_001096"", ""test_000886"", ""test_000993"", ""test_000652""]",Gen Z
"Among nations in North America that share a land border with the a large North American nation and have a Pacific coastline, does the country exhibit a negative perception of a major global diplomatic organization, alongside low penetration of electric vehicles in the automotive sector and a high concentration of financial resources among the top one share of earners?","Yes. The nation shows a negative perception of the United Nations (27% unfavorable), low adoption of electric vehicles (0.0% market share in 2017), and high concentration of wealth among the top 1% (38.2% of total wealth for the top 1% in 2016).","[""test_001229"", ""test_001782"", ""test_000482""]",Mexico
"Among Western European nations that achieved a top-three position in a global health security assessment conducted in the year prior to the pandemic, did the nation with the third-highest adoption rate of battery-powered personal transportation during a late-2010s period also have a majority of its population expressing the highest level of endorsement for legal recognition of relationships between individuals of the same gender?",Yes,"[""test_001782"", ""test_001914"", ""test_001670"", ""test_000600""]",Netherlands
"Among those in a continental nation with a federal republic system who consider spiritual belief fundamental to ethical conduct, does the degree of apprehension about perceived institutional overextension in the highest court exceed the level of wariness toward the central financial regulatory entity, and how does this compare with perspectives on international military aid during the period of heightened global instability?",The degree of apprehension about perceived institutional overextension in the highest court (25%) does not exceed the level of wariness toward the central financial regulatory entity (37%). The perspective on international military aid (31%) falls between these two values.,"[""test_001754"", ""test_001361"", ""test_001724"", ""test_000642"", ""test_001828""]",Total U.S. Adults
"Among years coinciding with the US presidential election and featuring environmental alerts in a Southeast Asian nation known for palm oil production predominantly linked to land use outside commercial concessions, does the region encompassing East Asia, Southeast Asia, and Oceania exhibit both a substantial upward shift in tourism's contribution to global economic output over the preceding sixteen years and a notable growth trajectory in professional development program registrations during the global health crisis year?","Yes, the Asia Pacific region's tourism contribution to global GDP increased by 10.0 percentage points from 2000 to 2016, and professional development program sign-ups showed a significant surge in 2020 compared to 2019.","[""test_001357"", ""test_001039"", ""test_001430""]",Philadelphia County
"Among years when the initial quarter recorded a rise of more than four-fifths in incidents targeting a specific ethnic and religious minority compared to the same quarter of the prior year, and which followed a year with a one-third annual increase in the total national incident count, did the trajectory of fatalities due to unintentional drug overdoses in a major Pacific Northwest county during that year, and the pattern of post-harvest field burning events in a northern South Asian state during the immediately following year, both exhibit an upward trajectory?","No, while the unintentional overdose fatalities in King County, WA showed an upward trajectory during 2017, the stubble burning episodes in Haryana decreased in 2018.","[""test_000495"", ""test_001452"", ""test_000092""]","King County, WA"
"Among the younger demographic in a large North American nation, during the two-year period that was noted for a marginal decline in caloric intake from a common sweetener, did the platform primarily used for temporary visual updates gain more ground than the service focused on brief text-based posts?","Yes, Snapchat increased from 11% to approximately 35% (a 24-point gain) while Twitter decreased from 21% to about 15% (a 6-point decline) between 2015 and 2016 within the specified timeframe.","[""test_000602"", ""test_001191""]",Snapchat
"Among sovereign entities with a fragmented landmass exceeding 17,000 islands and demographic scale above 250 million, does a predominant positive evaluation of a major global diplomatic institution align with substantial parental expectations regarding international higher education cost premiums, while simultaneously featuring a domestically developed digital innovation enterprise that secured venture capital at the highest disclosed funding tier?","Yes. In Indonesia (the Southeast Asian archipelago nation), 67% of the population holds a favorable view of the UN (a majority positive evaluation), parents expect a 289 percentage point cost gap for international university education (substantial premium), and Gojek (a domestically developed digital innovation enterprise) received over $1 billion in venture funding (highest disclosed tier).","[""test_001228"", ""test_001437"", ""test_000168""]",Indonesia
"Among nations that experienced disruption of legislative sessions during the global health crisis of the early 2020s and also witnessed a substantial increase in the population living on minimal daily income during the same period, did the current level of government expenditure on agricultural development correspond to a point in time approximately fourteen years before the most populous East Asian nation reached that same level?","Yes, the nation meeting these conditions had a current agricultural spending level that was last matched by China 14 years prior.","[""test_000552"", ""test_001549"", ""test_001936"", ""test_000465""]",India
"Among a large western state on the Pacific coast that encountered a series of devastating wildfires in a major wine-producing region during a late-2010s year and recorded a children's dental health indicator exceeding half for the younger demographic cohort in that same period, what was the workforce engagement proportion in the early 2020s?",62%,"[""test_000044"", ""test_000497"", ""test_001667""]",California
"Among nations in Western Europe with significant maritime heritage that positioned within the highest quartile of measured capacity for health emergency response before the onset of a worldwide health disruption, does the aggregate positive perception metric concerning social inclusion policies demonstrate alignment with business operations experiencing financial deficits, while simultaneously maintaining a discernible footprint in the adoption of battery-powered transportation alternatives?","The nation ranked 3rd (75.6) in pandemic preparedness, showed 89% aggregate positive perception on social inclusion, had business operations with financial losses, and maintained a 2.7% share in battery-powered transportation adoption.","[""test_000166"", ""test_001914"", ""test_001670"", ""test_000600"", ""test_001782""]",Netherlands
"Among major Canadian cities with significant technology sector expansion and modest labor compensation, does the one classified as having housing market valuation exceeding stability thresholds also demonstrate a positive trajectory in labor market participation metrics when measured from a baseline established early in the second decade of the 21st century?","Yes, the city demonstrates a positive trajectory in labor market participation metrics, with employment levels showing consistent growth from the baseline period through the most recent available data.","[""test_001572"", ""test_001753"", ""test_001830""]",Toronto
"Among operational metrics tracked monthly across different sectors, does the final month of the calendar year consistently exhibit relatively high business performance alongside relatively low public service workload and mixed infrastructure reliability patterns?","Yes. The final month shows peak business performance (cumulative sales), the second-lowest public service workload (state executive work hours), and mixed infrastructure reliability (two rail lines show improved electrical reliability while one shows deterioration).","[""test_000119"", ""test_000862"", ""test_000403""]",December
"During the period of a global health emergency, did the dominant conservative political party in the nation with the largest economy in North America demonstrate a pattern of higher activity in references to a populous continent on online public discussion platforms and in voter participation in a key electoral state compared to the major progressive political party, consistent with the conservative party's historical pattern of executive administrative actions?","Yes, during the global health emergency period, the conservative political party exhibited both a higher volume of references to Asia on social media platforms and higher voter turnout in Florida compared to the progressive party, which aligns with their historically higher rate of executive orders per day than the opposing party.","[""test_000853"", ""test_000303"", ""test_001215""]",Republican
"Among the years when cross-border online transaction patterns were measured in a major European economic and political union, did the trade volume of a food category encompassing both unprocessed and processed plant-based items from a South Pacific island nation with significant agricultural exports exhibit an upward trajectory from the initial documentation year to the period following a substantial environmental disturbance in a major southern ocean basin?","Yes, the trade volume increased between the initial documentation year (2012) and the year following the environmental disturbance (2017), as shown by the growing contribution of this category in the nation's export data.","[""test_000039"", ""test_001357"", ""test_001769""]",Fruit and vegetables
"Among urban centers classified as having high vulnerability to market correction due to overvaluation in a global residential property assessment conducted during the year following the global health crisis onset, and that also host a technology sector characterized by rapid expansion and relatively low operational expenses, did the second-ranked location exhibit a residential property value pattern featuring a significant upward shift in value followed by a downward shift in value during the interval from the final month of the prior decade to the conclusion of the fourth year of the global health crisis?",Yes,"[""test_001572"", ""test_001753"", ""test_001925""]",Toronto
"Among the population of a low-lying European nation with extensive water management systems, which also exhibits a relatively high positive perception of a global diplomatic organization and a small proportion of new vehicle sales being electric, does the perception of stable international standing exceed the aggregate resistance level to legal recognition of same-sex partnerships?","Yes, the perception of stable international standing (60%) exceeds the aggregate resistance level (10%) for legal recognition of same-sex partnerships in this nation.","[""test_000852"", ""test_001914"", ""test_000990"", ""test_001229""]",Netherlands
"Among financial years of a Southeast Asian city-state's betting sector ending in spring that preceded a period of significant domestic currency depreciation in a western African nation, did the financial inflow from competitive equestrian events show a downward shift relative to the prior financial year?","Yes, it decreased from 1.57 billion to 1.55 billion dollars.","[""test_001945"", ""test_001245""]",Horse racing
"Among communities in a large landmass spanning tropical to temperate zones in the Western Hemisphere, does the observable imbalance in household responsibility distribution correlate with persistent economic stratification patterns, when also examining the region's role in long-term environmental impact from the mid-20th century onward?","Yes, South American countries show women spending 2.5x more time in unpaid care work than men, while economic inequality data from Argentina shows significant income ratio disparities, and the region has contributed to global CO2 emissions growth from 1950-2022.","[""test_001535"", ""test_001105"", ""test_000596""]",South America
"Among constitutional monarchies in Northwestern Europe that secured a position within the highest readiness tier for public health emergencies before the onset of the global health crisis, did those with a dominant societal consensus regarding progressive domestic policy shifts also exhibit a distinct pattern in the adoption trajectory of zero-emission personal mobility solutions?","The nation in question achieved the third position in health emergency readiness metrics (75.6 capability index), demonstrated high societal acceptance of social reforms (89% total positive perception), and maintained a 2.7% adoption rate for electric-powered transportation.","[""test_000600"", ""test_001914"", ""test_001782""]",Netherlands
"Among years when a large North American country with a federal system experienced a labor market condition affecting one in four of the younger demographic, what was the corresponding proportion of households characterized by a female head of household without a spouse but with other relatives, and how did the monetary worth of business transactions in the world's most populous nation in East Asia change over the subsequent two years?",The corresponding proportion was 13.1 percent. The monetary worth of business transactions increased from $49.9 billion to $57.2 billion.,"[""test_000820"", ""test_000140"", ""test_001585""]",Year 2010
"Among polities that joined a major European economic integration initiative after its foundational phase, did the nation formerly under Soviet geopolitical influence that encountered constraints on public assembly during the recent global health emergency also demonstrate a consistent perception of its international standing in a major cross-national public opinion assessment?",Yes,"[""test_000662"", ""test_001071"", ""test_000852""]",Territory Added
