query,answer,gt_sources,start_candidates
"In the 2024 election cycle, does the religious composition of Republican voters, particularly the substantial segment identifying as White Evangelical Protestants, correlate with a higher level of concern about the U.S.-Mexico border situation compared to the general U.S. adult population?","Yes, approximately 49% of Republican voters view the border situation as a crisis, exceeding the 45% of U.S. adults overall.","[""chart_00184_01"", ""chart_00136_04""]",Protestant
"In surveys of U.S. Black Americans conducted in the early 2020s, does the high prevalence of negative healthcare experiences reported by Black Hispanic adults correlate with a strong demand for increased news coverage of health care issues among Black Americans overall?","No, only 5% of Black Americans expressed a desire for increased news coverage of health care issues, despite Black Hispanic adults reporting high rates of negative healthcare experiences such as feeling treated with less respect (37%) and receiving lower-quality care (37%).","[""chart_00080_06"", ""chart_00059_01""]","Survey Date: Sept. 16-22, 2024"
"Among Nigerian adults, does the percentage who believe social media has positively impacted democracy exceed the percentage who use social media platforms, suggesting that perception of social media's democratic value extends beyond actual users?","Yes, 77% of Nigerian adults believe social media has positively impacted democracy, which exceeds the 55% who use social media platforms.","[""chart_00187_01"", ""paragraph_00178_01""]",Nigeria
"In countries with low digital connectivity, does public support for social acceptance of LGBTQ+ rights tend to be lower compared to countries with higher internet and social media penetration, and how does Nigeria's position in this relationship illustrate this pattern?","Yes, Nigeria's extremely low support for same-sex marriage (2%) aligns with its low digital connectivity (57% internet usage, 55% social media usage), contrasting with high-connectivity countries like Sweden (96% internet usage, 92% support) and the Netherlands (96% internet usage, 89% support) where greater digital access correlates with higher acceptance of LGBTQ+ rights.","[""chart_00068_02"", ""chart_00187_01"", ""paragraph_00094_02""]",Nigeria
"In 2023, among Hispanic adults in the United States, does the preference for using country-specific terms over pan-ethnic identity labels correspond with state lawmakers' actions to restrict the use of gender-neutral terms like 'Latinx' or 'Latine'?","Yes, 52% of Hispanic adults preferred using their family's country of origin to describe themselves, while only 1% preferred 'Latine' and 2% preferred 'Latinx', aligning with state lawmakers' efforts to ban these terms in government documents.","[""paragraph_00254_07"", ""paragraph_00254_08""]",Year 2023
"Among Asian respondents in the United States, does a strong preference for living in communities with amenities within walking distance indicate a higher likelihood of viewing racial bias in hiring as a major problem?","No, 62% of Asian respondents prefer walkable communities while 49% view racial bias in hiring as a major problem, indicating that the preference for walkable communities does not necessarily correlate with perceiving racial bias as a major issue.","[""chart_00002_06"", ""chart_00028_07""]",Asian Respondent Definition
"Among U.S. religious groups, do those that express higher concern about societal trends like declining marriage rates tend to be less likely to view violence in home countries as a major reason for migrant influx?",Yes,"[""chart_00042_01"", ""chart_00184_02"", ""paragraph_00184_02""]",Protestant
"Among Asian adults, does a higher perception of racial bias in hiring as a major problem correlate with a higher rate of reported leadership roles during upbringing when compared to White adults?","Yes, because Asian adults report both a higher percentage viewing racial bias in hiring as a major problem (49% vs. 30% for White adults) and a higher net rate of leadership roles during upbringing (66% vs. 52% for White adults).","[""chart_00071_02"", ""chart_00028_07""]",Asian Respondent Definition
Does the more significant decline in public support for regional economic cooperation compared to international diplomatic organizations in France between 2022 and 2024 indicate a growing public preference for global engagement over regional integration?,"No, the decline in support for regional economic cooperation (15 percentage points) and international diplomatic organizations (9 percentage points) in France between 2022 and 2024 both indicate decreasing support, not a preference for global engagement over regional integration.","[""chart_00112_02"", ""chart_00252_02""]",France
"During the pandemic period, does the disparity in perception of the American dream's attainability between Asian adults living in poverty and those above the poverty line suggest that economic hardship influences this perception?","Yes, 47% of Asian adults living in poverty believe the American dream is out of reach compared to 26% of those above the poverty line, indicating that economic hardship is linked to reduced belief in the dream's attainability.","[""chart_00203_09"", ""paragraph_00110_03""]",Survey of Asian American adults
"In Taiwan, what does the relationship between societal openness to traditional changes and perceptions of external threats suggest about the population's strategic outlook regarding internal social evolution versus external relations, particularly when considering traditional Chinese cultural practices that emphasize harmony with the environment?","The 13 percentage-point difference (66% perceiving China as a major threat versus 53% believing societal openness to traditional changes leads to a better future) indicates that while a majority of Taiwanese are open to internal social evolution, an even larger majority perceives external challenges from China, reflecting a strategic outlook where openness to internal change coexists with caution about external relations.","[""chart_00137_03"", ""chart_00056_04"", ""paragraph_00027_03""]",Oregon
"In countries with very low international travel (less than 3% of the population having visited five or more countries), does a higher rate of international travel correlate with higher internet usage among the adult population?","Yes, Kenya has a higher rate of international travel (2% vs. less than 1%) and higher internet usage (66% vs. 57%) compared to Nigeria.","[""chart_00187_01"", ""chart_00101_02""]",Nigeria
"Among U.S. Hispanic adults in 2023, did the doubling of awareness of the term 'Latinx' since 2019 lead to a higher rate of adoption of the term for self-identification?","No, because the adoption rate remained statistically unchanged at 4% in 2023 compared to 3% in 2019, and three-quarters of those aware of the term say it should not be used.","[""paragraph_00254_07"", ""paragraph_00254_08""]",Year 2023
"Among countries with extremely low public support for LGBTQ+ rights, does Nigeria also exhibit a notable decline in approval of international organizations between 2023 and 2024?","Yes, Nigeria has both extremely low public support for LGBTQ+ rights (2%) and a 9 percentage-point decline in favorable views of the United Nations from 2023 to 2024.","[""paragraph_00094_02"", ""chart_00252_02""]",Nigeria
Do high school teachers demonstrate both a higher level of skepticism toward AI tools in education and lower uncertainty compared to the average teacher population?,"Yes, 35% of high school teachers view AI tools as causing more harm than benefit compared to 25% across all teachers, and 21% are uncertain compared to 35% overall.","[""chart_00230_02"", ""chart_00230_01""]",Rounding adjustment
"Among registered voters in the United States, does the high level of concern about border security among White Catholics suggest a stronger alignment with views prioritizing border issues compared to their representation in the overall voting population, when considering religious identification patterns?","Yes, White Catholics demonstrate a stronger alignment with border security concerns compared to their representation in the voting population, with 64% viewing border issues as a crisis while constituting only 14% of all voters.","[""chart_00184_01"", ""chart_00159_04""]",White Catholic
"In 2023, do U.S. adults who are highly familiar with artificial intelligence generally express greater concern about AI's role in daily life, while those with a college education or higher show more positive views regarding AI's assistance in everyday practical tasks?","Yes, 47% of highly familiar U.S. adults were more concerned than excited about AI in daily life in 2023, while 60% of college-educated adults viewed AI as helpful for discovering products and services of interest online.","[""chart_00025_02"", ""chart_00025_04""]",Respondents who did not give an answer
