query,answer,gt_sources,start_candidates
"Considering the relationship between social media platforms' active user rates and their total user bases, how did the preference for Instagram among US teens change between 2015 and 2017?",US teens' preference for Instagram as their favorite social network decreased between 2015 and 2017.,"[""test_001476"", ""test_001207""]",Instagram
"Among the months in 2013 with the highest number of work hours recorded for Gov. Otter, did that same month also have the highest number of virus-related deaths in the Tricity region?","No, November had the highest work hours for Gov. Otter while August had the highest virus-related deaths in the Tricity region.","[""test_000413"", ""test_000862""]",Deaths
"During the 2020 pandemic period, how did the trend in social gatherings such as weddings compare to the trend in residential real estate market activity in terms of pending home sales?","Wedding ceremonies decreased significantly in 2020 compared to prior years, while pending home sales in the residential real estate market increased relative to the previous year during the same period.","[""test_000068"", ""test_000930""]",Time Period 2020
"During the economic disruption in early 2020, does the trend in workforce development engagement imply that consumer subscription service growth would follow a similar pattern?","No, workforce development engagement decreased significantly during the economic disruption while consumer subscription service growth continued to increase, showing divergent patterns.","[""test_000248"", ""test_001430"", ""test_001675""]",Time Period 2020
"Among National voters in 2017, did the change in support for the National Party following Ms Collins' selection as leader exceed the combined change in support observed for smaller parties including ACT New Zealand and New Zealand First Party?","Yes, the National Party's support decreased by 7 percentage points, while the combined support for ACT New Zealand and New Zealand First Party changed by a net increase of 1 percentage point.","[""test_001819"", ""test_000074"", ""test_001941""]","National voters 2017, post Ms Collins' selection as leader"
"Among African countries that experienced a decline in poverty rates between the 1990s and early 2000s, does the country with the highest poverty rate during the 1990s have a higher or lower favorability toward the United Nations compared to the median favorability across all surveyed countries?",The country has higher favorability toward the United Nations (77%) compared to the 24-country median (63%).,"[""test_000396"", ""test_001229""]",Data Visualization Type
"After the introduction of new US trade policies in 2018, how did the manufacturing activity index for the United States compare to the Euro area in the following years?",The US manufacturing activity index generally remained above the Euro area manufacturing activity index.,"[""test_001814"", ""test_000007""]",US
"Following the 2017 leadership change in New Zealand's National Party, did the decline in support among its previous voters primarily shift to smaller right-leaning parties, and which specific parties experienced the most notable increases in support?","Yes, ACT New Zealand saw the most significant increase with a 3 percentage-point gain, followed by the New Conservative Party with a 1 percentage-point gain, while the National Party's support decreased by 7 percentage points.","[""test_001819"", ""test_001941""]","National voters 2017, pre Ms Collins' selection as leader"
"Among countries with a significant number of AI startups, which nation showed both strong economic recovery (real GDP growth exceeding 5 percentage points since the pre-recession peak) and a relatively high level of international favorability as measured by public opinion of the United Nations?",Canada,"[""test_001135"", ""test_000759"", ""test_001229""]",Number of AI Startups
"Among the two largest donors to international aid between 1973 and 2013, did their populations generally perceive their global influence as strengthening or weakening in 2022?","The populations of both countries generally perceived their global influence as weakening, with the United States showing 47% believing influence was getting weaker compared to 19% saying it was getting stronger, and Japan showing 43% believing influence was getting weaker compared to 8% saying it was getting stronger.","[""test_001171"", ""test_001867""]",Territory Lost (Core European Territory) - EU27 after Brexit
"When viral case counts demonstrate a downward trajectory in different public health crises, does the associated mortality trend generally follow a similar declining pattern across these distinct outbreaks?","Yes, both datasets show that as viral case counts decline, the number of associated deaths also decreases.","[""test_000413"", ""test_000796""]",Deaths
"During the period when Western European countries experienced public health challenges as measured by confirmed case rates per 100,000 people, did a major UK public service broadcaster maintain a gender pay gap that remained consistently below the national average while showing a general trend of improvement from 2017 to 2021?","Yes, the broadcaster maintained a gender pay gap consistently below the national average of 15.4% and showed a general trend of improvement from 9.3% in 2017 to 5.2% in 2021, with a slight increase to 5.9% in 2022.","[""test_001927"", ""test_001111""]",PA graphic
"Among Australian states with substantial work from home arrangements during social distancing measures, which one experienced the longest interval between reaching 70% first dose vaccine coverage and completing the second dose schedule?",South Australia experienced the longest interval between reaching 70% first dose vaccine coverage and completing the second dose schedule.,"[""test_000984"", ""test_000174""]",Total Working From Home
"Comparing the technological adoption patterns in global renewable energy generation from the mid-20th century to the present with those of social media platforms among U.S. teens from the mid-2010s to the early 2020s, which sector demonstrates a more rapid shift in consumer preference, and what does this suggest about the relative stability of technological adoption in these domains?","The social media sector demonstrates a more rapid technological shift, with platforms gaining and losing popularity within just a few years, while renewable energy shows steady, long-term growth. This suggests that consumer technology preferences, particularly among teens, are significantly more volatile than infrastructure technology adoption patterns.","[""test_000149"", ""test_001004"", ""test_000602""]",Facebook
"During the 2020 pandemic period, did the change in traditional social events correspond with a change in community recreational activities, and what might this relationship suggest about how people adapted their social behaviors during restrictions?","Yes, the significant decline in traditional social events coincided with a sharp increase in community recreational activities during the summer months, suggesting that people adapted by shifting from formal gatherings to alternative forms of celebration while adhering to pandemic restrictions.","[""test_000068"", ""test_000932""]",Time Period 2020
"Among countries with substantial AI startup ecosystems, how does the change in poverty levels during the pandemic compare between the country with the fourth-highest AI startup count and the country with the ninth-highest AI startup count?",The country with the fourth-highest AI startup count experienced a substantially larger increase in poverty during the pandemic.,"[""test_001135"", ""test_001549""]",Number of AI Startups
"Among Australian states with significant work-from-home technology support hires, which jurisdiction experienced the most delayed vaccination milestone date as measured by the Phase B indicator timeline?",WA,"[""test_000984"", ""test_000174""]",Total Working From Home
Did the peak period of remote work search interest in 2020 precede a significant increase in trainee and apprentice sign-up activity during the same year?,"Yes, the peak in remote work search interest occurred in March 2020, which preceded the major spike in trainee and apprentice sign-ups observed around late July to August 2020.","[""test_001812"", ""test_001430""]",Time Period 2020
"In the context of annual production and sales performance, does the production level observed in February align with the projected market demand trajectory for the upcoming fiscal years?","No, the production level in February shows a decline compared to the previous month, while the sales trend forecast indicates a continuing upward trajectory through 2026.","[""test_001607"", ""test_001559""]",February
Did the decline in Facebook usage among U.S. teens from 2014-2015 to 2022-2023 also occur in the percentage of U.S. teens who considered Facebook their favorite social network from 2015 to 2017?,Yes,"[""test_001004"", ""test_000602""]",Facebook
"In 2021, did the United States' economic recovery, as reflected by its real GDP growth rate, coincide with a notable increase in consumer technology adoption measured by quarterly subscriber growth for a major action camera company?","Yes, the United States experienced a real GDP growth rate of 6.0% in 2021 alongside a significant increase in quarterly subscribers for the action camera company during the same year.","[""test_000177"", ""test_001675""]",US
"From March to June 2023, did the number of energy efficiency projects decrease, and from March to September-October 2023, did public support for a U.S. TikTok ban also decrease?",Yes,"[""test_000318"", ""test_001014""]",Project Count
Does the seasonal reduction in on-location film shoot days observed in January correspond with an increase in national unemployment claims during the same month?,"No, national unemployment claims in January are relatively low despite the reduction in film shoot days.","[""test_000350"", ""test_001638""]",Jan
"Following the leadership selection of Ms Collins, did the party with the highest level of support among National voters in 2017 also experience the largest increase in voter preference compared to before the leadership change?",Yes,"[""test_000074"", ""test_001819""]","National voters 2017, post Ms Collins' selection as leader"
"Considering the historical accumulation of Grand Slam singles titles by top tennis players, what was the trend in popularity for tennis as a spectator sport in the United States between 2004 and 2017?",The popularity of tennis as a spectator sport in the United States remained unchanged (0% change) between 2004 and 2017.,"[""test_000352"", ""test_001443""]",Grand Slam Singles wins
"Among countries with positive business profitability indicators, does New Zealand's housing market trajectory from 2016 to 2021 show a steeper growth pattern compared to other developed nations with similar economic profiles?","Yes, New Zealand's housing market trajectory from 2016 to 2021 shows a steeper growth pattern compared to other developed nations with positive business profitability, with particularly rapid acceleration in the final two years of the period.","[""test_000166"", ""test_000086""]",New Zealand
"During the year when apprentice and trainee sign-ups were significantly lower compared to the previous year, how did the year-over-year change in luxury home sales compare to the change in non-luxury home sales?",Luxury home sales experienced a significantly larger year-over-year decline compared to non-luxury home sales during the year when apprentice and trainee sign-ups were significantly lower.,"[""test_001430"", ""test_001820""]",Time (month)
"Among social media platforms where registered users represent more than half of the total user base, does the platform with the highest ratio of active users to registered users also demonstrate the highest volume of social engagement through mentions, messages, and comments?","No, YouTube has the highest ratio of active users to registered users, but Facebook demonstrates the highest volume of social engagement.","[""test_001476"", ""test_001262""]",Twitter
"For the Philippines, categorized as 'Partly Free' in 2020, did the government's pandemic response include both disruptions to electoral processes and constraints on media operations?","Yes, the Philippines experienced both electoral disruption and media restrictions during the pandemic.","[""test_001071"", ""test_000552""]",Philippines
"During the spring months of 2020, when the coronavirus pandemic was most disruptive to the housing market, did the peak in fireworks-related police calls occur before, during, or after the period of lowest new home sales activity?",The peak in fireworks-related police calls occurred after the period of lowest new home sales activity.,"[""test_001622"", ""test_000930""]",Time Period 2020
