query,answer,gt_sources,start_candidates
Does Vermont rank among the U.S. states with the lowest percentages for both eligible voters who are Black and workers who are unauthorized immigrants?,Yes,"[""chart_00053_04"", ""paragraph_00142_06""]",Vermont
"Among Poland and Hungary, which country's adults are more likely to approve of President Biden's handling of China, given their respective levels of confidence in him?",Poland has a higher approval rating for President Biden's handling of China compared to Hungary.,"[""chart_00017_03"", ""paragraph_00120_06""]",Survey of Asian American adults
"Based on the most recent data for public school enrollment and unauthorized immigrant population, does Alaska, which ranks among the top states for public school enrollment, also have one of the smallest unauthorized immigrant populations in the country?","Yes, because Alaska has a public school enrollment share of 91% (placing it among the top five states) and its unauthorized immigrant population is less than 25,000.","[""paragraph_00113_04"", ""chart_00142_05""]",Alaska
"Did the perceived common ground between political parties on foreign policy decrease between early 2023 and mid-2024, while foreign policy was considered a very important issue by a large majority of White Evangelical Protestants in the 2024 presidential election?",Yes,"[""chart_00253_04"", ""chart_00124_02""]",Protestant
"Among U.S. adults, do partisan differences in views on scientific institutions follow the same directional pattern as partisan differences in views on judicial institutions?","No, the partisan differences follow opposite directional patterns: Democrats show higher trust in scientists' understanding of climate change than Republicans, while Republicans show higher support for age limits on Supreme Court justices than Democrats.","[""chart_00077_03"", ""chart_00012_01""]",Survey Data from Pew Research Center's Center Phone Surveys
Does the country with the lowest positive perception of religious diversity in the 2022 South and Southeast Asia survey also demonstrate notably high levels of religious incompatibility with minority faiths according to the same study?,"Yes, Cambodia had the lowest positive perception of diversity and 43% of adults did not affirm the compatibility of all three minority religions with Cambodian culture.","[""chart_00091_02"", ""paragraph_00091_03""]",Buddhism
"In Indonesia, do Christians express a higher level of agreement that religious diversity positively affects the country's quality of life compared to the general adult population?","Yes, Christians express a higher level of agreement.","[""chart_00091_02"", ""chart_00204_04""]",Christians
"Among adults in Taiwan, is the share of those who participate in a tradition of providing for ancestors' needs in the afterlife higher than the share who hold the view that China's power and influence poses a major threat to Taiwan?","Yes, the share of adults participating in the ancestral tradition is higher.","[""chart_00128_02"", ""chart_00056_04""]",Survey of Asian American adults
"In the spring 2024 surveys, does the share of people in Peru with a favorable opinion of Brazil exceed the share expressing confidence in Brazil's president?","Yes, 58% have a favorable opinion of Brazil compared to 30% expressing confidence in the president.","[""chart_00260_02"", ""chart_00260_04"", ""paragraph_00260_01""]",Peru
"Among countries that experienced a significant economic decline from 2023 to 2024, does Nigeria maintain a stronger sense of connection to local community members compared to the international median?","Yes, Nigeria maintains a stronger sense of connection to local community members despite experiencing a significant economic decline.","[""chart_00114_02"", ""chart_00228_01"", ""paragraph_00006_02""]",Nigeria
"Among Black Americans, does the perception that local journalists are not in touch with their community suggest a disconnect between news coverage priorities and community interests?","Yes, 38% of Black Americans report that local journalists are out of touch with their community, while Economy and Crime are the most frequently requested topics for increased coverage at 12% and 8% respectively, indicating a disconnect between journalists' coverage and community interests.","[""chart_00059_01"", ""chart_00081_03""]",Perception in 2023
"In Indonesia, do Christians express a higher level of agreement than both Muslims and the national average that religious diversity improves the country's quality of life?","Yes, 67% of Christians in Indonesia say religious diversity makes the country a better place to live, which is higher than the 49% of Muslims and the 50% national average.","[""chart_00091_02"", ""chart_00204_04""]",Buddhists
"In Canada, does the left-leaning ideological group have a more favorable view of the European Union than the right-leaning group, and in Israel, does the left-leaning group express less confidence in the U.S. president than the right-leaning group?",Yes,"[""chart_00076_03"", ""chart_00235_04""]",Vermont
"Among East Asian countries where data on cultural traditions and same-sex marriage legality is available, does the country that has legalized same-sex marriage show higher engagement in traditions involving offerings to ancestors compared to other surveyed countries?","Yes, Taiwan shows higher engagement in offering money or other things to honor ancestors compared to the other East Asian countries surveyed.","[""paragraph_00094_02"", ""chart_00261_04""]",Nigeria
"Among registered voters in the 2024 presidential election, is the proportion of Democrats who identify with no religious affiliation higher than that of the overall voter population, and does this group show stronger support for the Democratic presidential candidate compared to the general electorate?","Yes. The proportion of religiously unaffiliated is 12 percentage points higher among Democrats (38% vs 26%), and their support for the Democratic candidate is 21 percentage points higher (69% vs 48%).","[""chart_00159_04"", ""chart_00224_02""]",American Trends Panel
"Among nations surveyed, does the country with the least favorable view toward legal recognition of same-sex relationships also demonstrate the strongest connection to people in their local community?","Yes, Nigeria demonstrates the least favorable view toward legal recognition of same-sex relationships and also shows the strongest connection to people in their local community.","[""paragraph_00094_02"", ""chart_00228_01""]",Nigeria
"In East Asian countries where ancestor rituals are commonly practiced, do Christians generally participate at similar rates as the broader population?","No, Christians participate at lower rates than the general population in ancestor rituals across East Asian countries.","[""chart_00261_04"", ""paragraph_00128_02""]",Christians
"Among U.S. adults who use TikTok and those who do not, does the group with higher support for a ban in the 2024 survey also show a higher perception that a ban is likely to occur?","Yes, non-users had higher support for a ban (42% vs 10%) and a higher perceived likelihood of a ban (32% vs 29%) compared to users.","[""paragraph_00251_03"", ""chart_00251_04""]",Valid TikTok Handle
"In countries with a larger ideological gap in EU favorability between the left and right, did the overall EU favorability decline more significantly from 2022 to 2024?","No, the United States, which has the largest left-right gap in EU favorability (37 percentage points), experienced the smallest decline in overall EU favorability from 2022 to 2024 (3 percentage points), while Germany, with a gap of 15 percentage points, had the largest decline (15 percentage points).","[""chart_00076_03"", ""chart_00112_02""]",2023 Global Attitudes Survey
"Among U.S. public K-12 teachers, is it true that high school educators report both a higher prevalence of student distraction from mobile devices and a more critical view of artificial intelligence applications in education compared to their elementary and middle school counterparts?",Yes,"[""chart_00262_10"", ""chart_00230_02""]",Rounding adjustment
"Is it true that in 2023, the proportion of U.S. adults expressing concern about artificial intelligence in daily life was greater than the proportion who believed artificial intelligence had a positive impact on keeping personal information private?","True. In 2023, 52% of U.S. adults surveyed were more concerned than excited about artificial intelligence in daily life, while only 8-10% believed AI helped with keeping personal information private.","chart_00103_03,chart_00025_04",Respondents who did not give an answer
"Is it true that in Sri Lanka, Buddhists perceive growing Muslim populations as a greater threat than the general population views religious diversity as negatively impacting their country?","True, because 68% of Buddhists in Sri Lanka view growing Muslim populations as a threat according to the text evidence, while only 6% of the general population in Sri Lanka say religious diversity makes their country worse based on the country-level chart data.","paragraph_00091_05,chart_00091_02",Buddhists
"Is it true that in Greece, the proportion of adults not using the internet is lower than those not using social media platforms?","True. Non-internet users in Greece are 6% (from chart_00068_02) while non-social media users are 27% (calculated from 73% social media usage in chart_00187_01), confirming 6% is less than 27%.","chart_00068_02,chart_00187_01",2023 Global Attitudes Survey
"Is it true that in the District of Columbia, voter registration requires district residency with a government employee exception and most students attend schools outside the traditional public system?","True. The voter requirements chart shows D.C.'s residency requirement as 'D.C. resident (except D.C. gov't employees)'. The school enrollment chart indicates only 45% of students attend traditional public schools, meaning 55% attend non-public schools (charter and private), which constitutes a majority.","chart_00113_04,chart_00144_08",Alaska
"Is it true that White Evangelical Protestants are more likely than Black Protestants to view the migrant influx at the U.S.-Mexico border as a crisis, while Black Protestants are more likely than White Evangelical Protestants to identify violence in countries of origin as a major driver of this influx?","True. White Evangelical Protestants show 70% crisis perception versus 32% for Black Protestants, while 72% of Black Protestants cite violence as a major reason compared to 50% of White Evangelical Protestants.","chart_00184_01,chart_00184_02",Protestant
Is it true that uncertainty about supporting a TikTok ban in 2024 was higher than uncertainty regarding AI's impact on personal privacy in 2023?,"True. The 'Not sure' response for TikTok ban support reached 41% in Jul-Aug 2024 (chart_00251_02), while the highest 'Not sure' percentage for AI's impact on personal privacy was 39% among those with some college education in 2023 (chart_00025_04).","chart_00251_02,chart_00025_04",Respondents who did not give an answer
Is it true that White Catholic voters are more likely to consider the influx of migrants at the U.S.-Mexico border a crisis compared to the likelihood of White voters believing legal immigrants fill jobs Americans would like to have?,"True. 64% of White Catholic voters view the migrant influx as a crisis (chart_00184_01), while only 35% of White voters believe legal immigrants fill jobs Americans would like to have (chart_00237_02).","chart_00184_01,chart_00237_02",White Catholic
Is it true that White evangelical Protestants consider immigration policy a more critical factor in their 2024 presidential election decision compared to their perception of the U.S.-Mexico border migrant situation as a crisis?,"True. 79% of White evangelical Protestants rated immigration policy as 'very important' for the 2024 election (chart_00253_04), while 70% viewed the border migrant influx as a 'crisis' (chart_00184_01).","chart_00253_04,chart_00184_01",American Trends Panel
Is it true that the proportion of Christians in Indonesia who believe religious diversity improves their country is higher than the proportion of Chinese American adults who report favorable views of their ancestral homeland?,"True. The evidence shows 67% of Christians in Indonesia say religious diversity makes the country better (chart_00204_04), while 41% of Chinese American adults report favorable views of China (chart_00103_07).","chart_00103_07,chart_00204_04",Survey of Asian American adults
"Is it true that in Peru during the 2024 survey, a majority of the public held a favorable view of Brazil while simultaneously lacking confidence in its president?","True. The 2024 survey shows 58% of Peruvians had a favorable view of Brazil (a majority) compared to 25% unfavorable. Additionally, 55% of Peruvians expressed no confidence in Brazil's president (a majority) compared to 30% with confidence.","chart_00260_02,chart_00260_04",Peru
